claim_id,claim_type,incident_cluster_id,settlement_offer_usd,linked_claim_id
CLM0097,PROPERTY,CLU0036,28022.80,
CLM0098,AUTO,CLU0036,12042.46,
CLM0099,LIABILITY,CLU0037,70188.46,
CLM0100,LIABILITY,CLU0038,53689.37,
CLM0101,PROPERTY,CLU0039,33067.26,
CLM0102,LIABILITY,CLU0040,56149.03,
CLM0103,LIABILITY,CLU0041,70801.62,
CLM0104,LIABILITY,CLU0041,70469.94,
CLM0105,PROPERTY,CLU0041,21934.37,
CLM0106,PROPERTY,CLU0042,21261.51,
CLM0107,PROPERTY,CLU0043,28140.88,
CLM0108,AUTO,CLU0043,11312.11,
CLM0109,AUTO,CLU0044,9839.62,
CLM0110,PROPERTY,CLU0044,28548.90,
CLM0111,PROPERTY,CLU0045,22568.14,
CLM0112,PROPERTY,CLU0046,24014.97,
CLM0113,PROPERTY,CLU0047,26271.06,
CLM0114,AUTO,CLU0048,7958.92,
CLM0115,AUTO,CLU0049,10398.80,
CLM0116,AUTO,CLU0049,10973.59,
CLM0117,AUTO,CLU0050,8437.84,
CLM0118,PROPERTY,CLU0050,29812.37,
CLM0119,AUTO,CLU0051,12557.13,
CLM0120,AUTO,CLU0051,8780.37,
CLM0121,PROPERTY,CLU0051,30857.80,
CLM0122,PROPERTY,CLU0052,27328.11,
CLM0123,AUTO,CLU0052,8337.06,
CLM0124,AUTO,CLU0053,11564.81,
CLM0125,AUTO,CLU0053,9638.57,
CLM0126,PROPERTY,CLU0054,26141.94,
CLM0127,AUTO,CLU0054,10333.31,
CLM0128,AUTO,CLU0055,8648.73,
CLM0129,AUTO,CLU0055,11338.68,
CLM0130,PROPERTY,CLU0056,31070.51,
CLM0131,LIABILITY,CLU0057,59170.34,
CLM0132,LIABILITY,CLU0058,65256.58,
CLM0133,PROPERTY,CLU0058,22366.30,
CLM0134,PROPERTY,CLU0059,28554.95,
CLM0135,AUTO,CLU0059,8852.76,
CLM0136,PROPERTY,CLU0060,31380.09,
CLM0137,PROPERTY,CLU0060,20247.21,
CLM0138,LIABILITY,CLU0060,61311.13,
CLM0139,PROPERTY,CLU0061,30798.10,
CLM0140,LIABILITY,CLU0062,59437.51,
CLM0141,LIABILITY,CLU0063,58445.61,
CLM0142,AUTO,CLU0063,11352.22,
CLM0143,PROPERTY,CLU0064,27850.58,
CLM0144,AUTO,CLU0064,8718.21,
CLM0145,LIABILITY,CLU0065,46435.52,
CLM0146,AUTO,CLU0065,9858.91,
CLM0147,PROPERTY,CLU0066,28578.14,
CLM0148,AUTO,CLU0066,8449.04,
CLM0149,AUTO,CLU0066,12068.04,
CLM0150,AUTO,CLU0067,11674.21,
CLM0151,PROPERTY,CLU0068,26810.09,
CLM0152,PROPERTY,CLU0068,31667.53,
CLM0153,AUTO,CLU0069,11220.27,
CLM0154,AUTO,CLU0070,8592.41,
CLM0155,PROPERTY,CLU0071,20151.33,
CLM0156,PROPERTY,CLU0071,26208.83,
CLM0157,AUTO,CLU0072,11313.34,
CLM0158,AUTO,CLU0073,10842.87,
CLM0159,AUTO,CLU0073,10183.68,
CLM0160,AUTO,CLU0074,11468.85,
CLM0161,AUTO,CLU0074,10315.21,
CLM0162,AUTO,CLU0074,11720.88,
CLM0163,AUTO,CLU0075,8914.44,
CLM0164,AUTO,CLU0076,8685.11,
CLM0165,LIABILITY,CLU0077,65815.16,
