payment_id,payee,amount,currency,payment_date,acquisition_date
PAY0069,ENT0059,70006.42,EUR,2024-05-09,2022-01-01
PAY0070,ENT0060,70065.08,BRL,2024-10-23,2024-05-22
PAY0071,ENT0061,70035.33,EUR,2024-05-23,2023-10-12
PAY0072,ENT0062,70095.82,SGD,2024-07-09,2022-01-01
PAY0073,ENT0063,70058.38,AUD,2024-10-15,2022-01-01
PAY0074,ENT0064,30024.62,GBP,2024-08-12,2022-01-01
PAY0075,ENT0065,50091.0,EUR,2024-02-07,2022-01-01
PAY0076,ENT0066,50019.73,GBP,2024-04-26,2022-01-01
PAY0077,ENT0067,30058.84,SGD,2024-11-10,2024-02-17
PAY0078,ENT0068,30033.2,GBP,2024-05-16,2022-01-01
PAY0079,ENT0069,70080.42,BRL,2024-04-16,2024-02-09
PAY0080,ENT0070,50074.86,SGD,2024-05-06,2024-01-18
PAY0081,ENT0071,70030.33,GBP,2024-07-10,2022-01-01
PAY0082,ENT0072,50023.08,AUD,2024-06-01,2024-04-16
PAY0083,ENT0073,70057.54,SGD,2024-08-06,2022-01-01
PAY0084,ENT0074,50061.81,BRL,2024-06-27,2022-01-01
PAY0085,ENT0075,50085.77,BRL,2024-03-04,2022-01-01
PAY0086,ENT0076,50065.58,AUD,2024-03-16,2022-01-01
PAY0087,ENT0077,50034.82,SGD,2024-09-13,2022-01-01
PAY0088,ENT0078,70060.96,EUR,2024-10-20,2022-01-01
PAY0089,ENT0079,50073.12,GBP,2024-04-17,2022-01-01
PAY0090,ENT0080,70042.75,AUD,2024-03-04,2022-01-01
PAY0091,ENT0081,50020.11,BRL,2024-09-11,2022-01-01
PAY0092,ENT0082,70067.86,GBP,2024-03-07,2023-08-19
PAY0093,ENT0083,30024.67,BRL,2024-06-18,2022-01-01
PAY0094,ENT0084,70047.53,SGD,2024-05-22,2022-01-01
PAY0095,ENT0085,50001.24,SGD,2024-08-27,2022-01-01
PAY0096,ENT0086,70068.65,SGD,2024-08-24,2024-01-10
PAY0097,ENT0087,70086.42,BRL,2024-02-20,2022-01-01
PAY0098,ENT0088,30039.67,BRL,2024-03-05,2022-01-01
PAY0099,ENT0089,50006.29,SGD,2024-06-24,2022-01-01
PAY0100,ENT0090,70009.6,BRL,2024-04-11,2023-08-19
PAY0101,ENT0091,30025.04,GBP,2024-07-07,2023-12-06
PAY0102,ENT0092,30055.62,AUD,2024-09-25,2022-01-01
PAY0103,ENT0093,50044.01,BRL,2024-07-25,2024-05-09
PAY0104,ENT0094,30056.13,EUR,2024-10-21,2024-05-13
PAY0105,ENT0095,30014.69,AUD,2024-10-27,2022-01-01
PAY0106,ENT0096,40000.0,GBP,2024-09-01,2023-09-02
PAY0107,ENT0097,40000.0,GBP,2024-09-01,2023-09-03
PAY0108,ENT0098,500000.0,USD,2024-04-01,2022-01-01
PAY0109,ENT0099,40000.0,GBP,2024-06-01,2022-01-01
